 Eloss (eV)  Int (a.u.)  Int Err (a.u.)
 -16.668502        0.00        0.000000
 -16.658858        0.00        0.000000
 -16.649215        0.00        0.000000
 -16.639572        0.00        0.000000
 -16.629928        0.00        0.000000
 -16.620285        0.00        0.000000
 -16.610642        0.00        0.000000
 -16.600998        0.00        0.000000
 -16.591355        0.00        0.000000
 -16.581712        0.00        0.000000
 -16.572068        0.00        0.000000
 -16.562425        0.00        0.000000
 -16.552782        0.00        0.000000
 -16.543138        0.00        0.000000
 -16.533495        0.00        0.000000
 -16.523852        0.00        0.000000
 -16.514208        0.00        0.000000
 -16.504565        0.00        0.000000
 -16.494922        0.56        0.043205
 -16.485278        0.44        0.038297
 -16.475635        0.00        0.000000
 -16.465992        0.00        0.000000
 -16.456348        0.00        0.000000
 -16.446705        0.00        0.000000
 -16.437062        0.00        0.000000
 -16.427418        0.00        0.000000
 -16.417775        0.00        0.000000
 -16.408132        0.00        0.000000
 -16.398488        0.00        0.000000
 -16.388845        0.00        0.000000
 -16.379202        0.00        0.000000
 -16.369558        0.00        0.000000
 -16.359915        0.00        0.000000
 -16.350272        0.00        0.000000
 -16.340628        0.00        0.000000
 -16.330985        0.00        0.000000
 -16.321342        0.00        0.000000
 -16.311698        0.00        0.000000
 -16.302055        0.00        0.000000
 -16.292412        0.56        0.043205
 -16.282768        0.44        0.038297
 -16.273125        0.56        0.043205
 -16.263482        0.44        0.038297
 -16.253838        0.56        0.043205
 -16.244195        0.44        0.038297
 -16.234552        0.00        0.000000
 -16.224908        0.56        0.043205
 -16.215265        0.44        0.038297
 -16.205622        0.00        0.000000
 -16.195978        0.00        0.000000
 -16.186335        0.00        0.000000
 -16.176692        0.00        0.000000
 -16.167048        1.12        0.061101
 -16.157405        0.88        0.054160
 -16.147762        0.56        0.043205
 -16.138118        1.00        0.057735
 -16.128475        1.00        0.057735
 -16.118832        0.44        0.038297
 -16.109188        0.00        0.000000
 -16.099545        0.00        0.000000
 -16.089902        0.00        0.000000
 -16.080258        0.00        0.000000
 -16.070615        0.00        0.000000
 -16.060972        0.00        0.000000
 -16.051328        0.00        0.000000
 -16.041685        0.00        0.000000
 -16.032042        0.00        0.000000
 -16.022398        0.56        0.043205
 -16.012755        0.44        0.038297
 -16.003112        0.00        0.000000
 -15.993468        0.00        0.000000
 -15.983825        0.00        0.000000
 -15.974182        0.00        0.000000
 -15.964538        0.00        0.000000
 -15.954895        0.00        0.000000
 -15.945252        0.00        0.000000
 -15.935608        0.00        0.000000
 -15.925965        0.00        0.000000
 -15.916322        0.00        0.000000
 -15.906678        0.00        0.000000
 -15.897035        0.00        0.000000
 -15.887392        0.00        0.000000
 -15.877748        0.00        0.000000
 -15.868105        0.56        0.043205
 -15.858462        0.44        0.038297
 -15.848818        0.56        0.043205
 -15.839175        1.00        0.057735
 -15.829532        0.44        0.038297
 -15.819888        0.00        0.000000
 -15.810245        0.00        0.000000
 -15.800602        0.00        0.000000
