 Hybrid Ratio Row1  Hybrid Ratio Row2  Hybrid Ratio Row3  Hybrid Ratio Row4  Hybrid Ratio Row5  Hybrid Ratio Row6  Hybrid Ratio Row7  Hybrid Ratio Row8  Hybrid Ratio Row9  Hybrid Ratio Row10  Hybrid Ratio Row11  Hybrid Ratio Row12  Hybrid Ratio Row13  Hybrid Ratio Row14  Hybrid Ratio Row15  Hybrid Ratio Row16  Hybrid Ratio Row17  Hybrid Ratio Row18  Hybrid Ratio Row19  Hybrid Ratio Row20  Hybrid Ratio Row21  Hybrid Ratio Row22  Hybrid Ratio Row23  Hybrid Ratio Row24  Hybrid Ratio Row25  Hybrid Ratio Row26  Hybrid Ratio Row27  Hybrid Ratio Row28  Hybrid Ratio Row29  Hybrid Ratio Row30  Hybrid Ratio Row31  Hybrid Ratio Row32  Hybrid Ratio Row33  Hybrid Ratio Row34  Hybrid Ratio Row35  Hybrid Ratio Row36  Hybrid Ratio Row37  Hybrid Ratio Row38  Hybrid Ratio Row39  Hybrid Ratio Row40  Hybrid Ratio Row41  Hybrid Ratio Row42  Hybrid Ratio Row43  Hybrid Ratio Row44  Hybrid Ratio Row45  Hybrid Ratio Row46  Hybrid Ratio Row47  Hybrid Ratio Row48  Hybrid Ratio Row49  Hybrid Ratio Row50  Hybrid Ratio Row51  Hybrid Ratio Row52  Hybrid Ratio Row53  Hybrid Ratio Row54  Hybrid Ratio Row55  Hybrid Ratio Row56  Hybrid Ratio Row57  Hybrid Ratio Row58  Hybrid Ratio Row59  Hybrid Ratio Row60  Hybrid Ratio Row61  Hybrid Ratio Row62  Hybrid Ratio Row63  Hybrid Ratio Row64  Hybrid Ratio Row65
          1.086530           1.092398           1.098253           1.104094           1.109922           1.115736           1.121536           1.127322           1.133094            1.138853            1.144597            1.150327            1.156043            1.161745            1.167433            1.173106            1.178765            1.184409            1.190039            1.195655            1.201256            1.206842            1.212414            1.217971            1.223513            1.229041            1.234554            1.240052            1.245536            1.251004            1.256458            1.261897            1.267321            1.272731            1.278125            1.283504            1.288869            1.294219            1.299553            1.304873            1.310178            1.315468            1.320743            1.326003            1.331248            1.336478            1.341693            1.346893            1.352078            1.357248            1.357208            1.362403            1.367584            1.372750            1.377901            1.383038            1.388161            1.393269            1.398363            1.403443            1.408508            1.413559            1.418595            1.423617            1.428625
          1.080745           1.086605           1.092452           1.098285           1.104105           1.109911           1.115704           1.121483           1.127248            1.132999            1.138737            1.144460            1.150170            1.155865            1.161547            1.167214            1.172867            1.178506            1.184130            1.189740            1.195336            1.200917            1.206484            1.212036            1.217574            1.223097            1.228605            1.234099            1.239578            1.245043            1.250493            1.255928            1.261349            1.266754            1.272145            1.277521            1.282883            1.288229            1.293561            1.298878            1.304180            1.309467            1.314739            1.319997            1.325240            1.330468            1.335681            1.340879            1.346062            1.351231            1.351191            1.356384            1.361563            1.366727            1.371876            1.377012            1.382133            1.387240            1.392332            1.397411            1.402474            1.407524            1.412559            1.417581            1.422587
          1.074989           1.080841           1.086679           1.092504           1.098316           1.104115           1.109900           1.115671           1.121429            1.127173            1.132904            1.138621            1.144324            1.150013            1.155688            1.161349            1.166996            1.172629            1.178247            1.183852            1.189442            1.195018            1.200580            1.206127            1.211660            1.217178            1.222682            1.228172            1.233647            1.239107            1.244553            1.249984            1.255401            1.260803            1.266190            1.271563            1.276921            1.282264            1.287593            1.292907            1.298206            1.303490            1.308760            1.314015            1.319256            1.324481            1.329692            1.334888            1.340070            1.345236            1.345197            1.350388            1.355564            1.360727            1.365874            1.371008            1.376128            1.381233            1.386324            1.391401            1.396463            1.401512            1.406546            1.411566            1.416572
          1.069262           1.075105           1.080935           1.086752           1.092555           1.098346           1.104123           1.109887           1.115638            1.121375            1.127098            1.132808            1.138504            1.144187            1.149855            1.155510            1.161151            1.166778            1.172391            1.177990            1.183574            1.189145            1.194701            1.200244            1.205772            1.211285            1.216784            1.222269            1.227740            1.233196            1.238638            1.244065            1.249478            1.254876            1.260260            1.265629            1.270983            1.276323            1.281649            1.286960            1.292256            1.297538            1.302805            1.308057            1.313295            1.318518            1.323727            1.328921            1.334100            1.339265            1.339227            1.344415            1.349589            1.354749            1.359895            1.365027            1.370145            1.375248            1.380337            1.385413            1.390474            1.395521            1.400554            1.405573            1.410578
          1.063563           1.069397           1.075218           1.081027           1.086823           1.092605           1.098375           1.104131           1.109874            1.115604            1.121320            1.127023            1.132712            1.138388            1.144050            1.149699            1.155333            1.160954            1.166561            1.172154            1.177733            1.183298            1.188849            1.194386            1.199909            1.205418            1.210912            1.216392            1.221858            1.227310            1.232748            1.238171            1.243579            1.248974            1.254354            1.259719            1.265070            1.270407            1.275729            1.281037            1.286330            1.291609            1.296873            1.302123            1.307358            1.312579            1.317785            1.322976            1.328154            1.333316            1.333279            1.338465            1.343637            1.348795            1.353938            1.359068            1.364184            1.369286            1.374373            1.379447            1.384507            1.389552            1.394584            1.399602            1.404605
          1.057892           1.063717           1.069530           1.075330           1.081118           1.086892           1.092654           1.098402           1.104138            1.109860            1.115569            1.121265            1.126947            1.132616            1.138271            1.143913            1.149542            1.155156            1.160757            1.166344            1.171918            1.177477            1.183023            1.188554            1.194072            1.199576            1.205065            1.210541            1.216002            1.221449            1.226882            1.232301            1.237706            1.243096            1.248472            1.253834            1.259182            1.264515            1.269833            1.275138            1.280428            1.285704            1.290965            1.296212            1.301444            1.306662            1.311866            1.317055            1.322230            1.327391            1.327354            1.332537            1.337707            1.342863            1.348004            1.353132            1.358246            1.363346            1.368432            1.373504            1.378562            1.383606            1.388636            1.393652            1.398655
          1.052250           1.058066           1.063870           1.069661           1.075440           1.081207           1.086960           1.092701           1.098428            1.104143            1.109845            1.115533            1.121209            1.126871            1.132519            1.138155            1.143777            1.149385            1.154980            1.160561            1.166128            1.171682            1.177222            1.182748            1.188261            1.193759            1.199244            1.204714            1.210171            1.215614            1.221042            1.226457            1.231857            1.237243            1.242615            1.247973            1.253317            1.258647            1.263962            1.269263            1.274550            1.279822            1.285081            1.290325            1.295554            1.300770            1.305971            1.311157            1.316330            1.321488            1.321452            1.326633            1.331800            1.336953            1.342093            1.347218            1.352330            1.357428            1.362512            1.367582            1.372638            1.377681            1.382710            1.387725            1.392726
          1.046635           1.052442           1.058238           1.064020           1.069791           1.075549           1.081294           1.087027           1.092747            1.098454            1.104148            1.109829            1.115497            1.121152            1.126794            1.132423            1.138038            1.143640            1.149228            1.154803            1.160365            1.165913            1.171447            1.176968            1.182475            1.187968            1.193447            1.198913            1.204365            1.209803            1.215227            1.220637            1.226033            1.231415            1.236783            1.242137            1.247477            1.252803            1.258114            1.263412            1.268695            1.273965            1.279220            1.284461            1.289687            1.294900            1.300098            1.305283            1.310453            1.315608            1.315573            1.320751            1.325916            1.331066            1.336204            1.341327            1.346436            1.351532            1.356614            1.361683            1.366737            1.371778            1.376805            1.381819            1.386818
          1.041049           1.046847           1.052633           1.058407           1.064169           1.069918           1.075655           1.081380           1.087092            1.092791            1.098478            1.104151            1.109812            1.115460            1.121095            1.126717            1.132325            1.137921            1.143503            1.149072            1.154627            1.160169            1.165698            1.171213            1.176714            1.182202            1.187676            1.193137            1.198584            1.204017            1.209436            1.214842            1.220233            1.225611            1.230975            1.236325            1.241661            1.246983            1.252291            1.257585            1.262865            1.268131            1.273382            1.278620            1.283844            1.289054            1.294249            1.299431            1.304598            1.309752            1.309717            1.314892            1.320054            1.325202            1.330337            1.335458            1.340565            1.345659            1.350739            1.355805            1.360858            1.365897            1.370922            1.375934            1.380932
          1.035490           1.041279           1.047056           1.052821           1.058574           1.064315           1.070044           1.075760           1.081464            1.087156            1.092834            1.098501            1.104154            1.109795            1.115422            1.121037            1.126639            1.132228            1.137804            1.143366            1.148915            1.154451            1.159974            1.165483            1.170979            1.176462            1.181930            1.187386            1.192828            1.198256            1.203670            1.209071            1.214458            1.219831            1.225191            1.230537            1.235869            1.241187            1.246491            1.251781            1.257058            1.262320            1.267569            1.272803            1.278024            1.283231            1.288423            1.293602            1.298767            1.303917            1.303883            1.309056            1.314215            1.319361            1.324493            1.329611            1.334716            1.339807            1.344885            1.349950            1.355000            1.360038            1.365061            1.370071            1.375068
