 Eloss (eV)  Int/Int(10Dq)  Int Err/Int(10Dq)
 -29.105353      -0.013538           0.000000
 -29.073628      -0.002938           0.000000
 -29.041903       0.003523           0.000213
 -29.010178       0.004167           0.000232
 -28.978454      -0.014415           0.000000
 -28.946729      -0.002184           0.000000
 -28.915004      -0.007496           0.000000
 -28.883279      -0.013038           0.000000
 -28.851554      -0.020695           0.000000
 -28.819829      -0.007994           0.000000
 -28.788104      -0.006722           0.000000
 -28.756379      -0.005137           0.000000
 -28.724654      -0.011742           0.000000
 -28.692929       0.001406           0.000135
 -28.661204      -0.000951           0.000000
 -28.629479      -0.002845           0.000000
 -28.597755      -0.008498           0.000000
 -28.566030       0.006826           0.000297
 -28.534305      -0.002050           0.000000
 -28.502580      -0.005128           0.000000
 -28.470855      -0.008067           0.000000
 -28.439130      -0.000918           0.000000
 -28.407405      -0.003855           0.000000
 -28.375680      -0.007265           0.000000
 -28.343955      -0.021071           0.000000
 -28.312230      -0.001126           0.000000
 -28.280505      -0.013698           0.000000
 -28.248781      -0.012622           0.000000
 -28.217056      -0.008465           0.000000
 -28.185331       0.003564           0.000214
 -28.153606      -0.002246           0.000000
 -28.121881      -0.006269           0.000000
 -28.090156      -0.011278           0.000000
 -28.058431      -0.001873           0.000000
 -28.026706      -0.007657           0.000000
 -27.994981      -0.007837           0.000000
 -27.963256      -0.017294           0.000000
 -27.931531      -0.003211           0.000000
 -27.899807      -0.009040           0.000000
 -27.868082      -0.008645           0.000000
 -27.836357      -0.014350           0.000000
 -27.804632      -0.000982           0.000000
 -27.772907      -0.005931           0.000000
 -27.741182      -0.013880           0.000000
 -27.709457      -0.020486           0.000000
 -27.677732      -0.003735           0.000000
 -27.646007      -0.010032           0.000000
 -27.614282      -0.015017           0.000000
 -27.582557      -0.014591           0.000000
 -27.550833       0.002043           0.000162
 -27.519108      -0.002429           0.000000
 -27.487383      -0.007900           0.000000
 -27.455658      -0.014962           0.000000
 -27.423933      -0.008151           0.000000
 -27.392208      -0.009639           0.000000
 -27.360483      -0.009549           0.000000
 -27.328758      -0.013591           0.000000
 -27.297033      -0.006072           0.000000
 -27.265308      -0.008233           0.000000
 -27.233583       0.004796           0.000249
 -27.201858      -0.003551           0.000000
 -27.170134       0.006168           0.000282
