 Eloss (eV)    Int (a.u.)  Int Err (a.u.)
 -21.434086   -175.128974        0.000000
 -21.402361   -185.370409        0.000000
 -21.370636    -81.340163        0.000000
 -21.338911    -46.842111        0.000000
 -21.307186   -692.642161        0.000000
 -21.275462   -696.421657        0.000000
 -21.243737     -3.251819        0.000000
 -21.212012   -186.372451        0.000000
 -21.180287   -929.891086        0.000000
 -21.148562   -409.810318        0.000000
 -21.116837   -568.545215        0.000000
 -21.085112   -168.358718        0.000000
 -21.053387   -362.434658        0.000000
 -21.021662   -410.038702        0.000000
 -20.989937   -150.414375        0.000000
 -20.958212   -104.899042        0.000000
 -20.926488   -513.122303        0.000000
 -20.894763   -183.073778        0.000000
 -20.863038    243.097247       15.591576
 -20.831313    621.782155       24.935560
 -20.799588   -630.315539        0.000000
 -20.767863   -752.612524        0.000000
 -20.736138   -288.319862        0.000000
 -20.704413   -239.485244        0.000000
 -20.672688   -558.557650        0.000000
 -20.640963  -1127.649378        0.000000
 -20.609238   -277.726462        0.000000
 -20.577514   -483.754019        0.000000
 -20.545789   -625.830778        0.000000
 -20.514064   -418.998351        0.000000
 -20.482339     81.906695        9.050232
 -20.450614    187.967518       13.710125
 -20.418889   -565.308319        0.000000
 -20.387164   -731.956057        0.000000
 -20.355439    -94.827323        0.000000
 -20.323714     47.831339        6.916020
 -20.291989  -1130.243155        0.000000
 -20.260264   -455.053349        0.000000
 -20.228540    -85.972098        0.000000
 -20.196815     96.381113        9.817388
 -20.165090   -710.628116        0.000000
 -20.133365   -564.111768        0.000000
 -20.101640   -444.941469        0.000000
 -20.069915   -322.754089        0.000000
 -20.038190   -436.742294        0.000000
 -20.006465    279.989054       16.732873
 -19.974740      4.193087        2.047703
 -19.943015   -231.395831        0.000000
 -19.911290  -1049.997231        0.000000
 -19.879565   -168.315164        0.000000
 -19.847841   -241.949237        0.000000
 -19.816116   -149.308352        0.000000
 -19.784391   -772.160874        0.000000
 -19.752666   -635.022198        0.000000
 -19.720941     77.865814        8.824161
 -19.689216    143.976415       11.999017
 -19.657491   -979.723313        0.000000
 -19.625766   -369.877868        0.000000
 -19.594041   -283.964448        0.000000
 -19.562316    236.845047       15.389771
 -19.530591  -1096.629012        0.000000
 -19.498867   -215.641817        0.000000
 -19.467142   -468.622509        0.000000
 -19.435417    252.276195       15.883205
 -19.403692   -707.013197        0.000000
 -19.371967   -336.789998        0.000000
 -19.340242    -80.716511        0.000000
 -19.308517    171.950434       13.112987
 -19.276792   -801.161437        0.000000
 -19.245067   -504.719393        0.000000
 -19.213342   -525.349970        0.000000
 -19.181617   -147.339491        0.000000
 -19.149893   -348.383545        0.000000
 -19.118168   -746.132123        0.000000
 -19.086443  -1016.514162        0.000000
 -19.054718   -206.069199        0.000000
 -19.022993  -1227.945805        0.000000
 -18.991268    156.799332       12.521954
 -18.959543     80.200034        8.955447
 -18.927818    348.193526       18.659944
 -18.896093   -491.538227        0.000000
 -18.864368   -365.778238        0.000000
 -18.832643    149.205085       12.214953
 -18.800919   -327.148111        0.000000
 -18.769194   -780.288613        0.000000
 -18.737469   -152.886964        0.000000
 -18.705744   -158.120216        0.000000
 -18.674019   -105.711640        0.000000
 -18.642294   -961.276323        0.000000
 -18.610569    -59.420081        0.000000
 -18.578844   -187.662853        0.000000
 -18.547119   -128.246162        0.000000
 -18.515394   -634.376709        0.000000
 -18.483669    -36.231141        0.000000
 -18.451944    -87.929411        0.000000
 -18.420220    394.845145       19.870711
 -18.388495   -498.593181        0.000000
 -18.356770   -313.736438        0.000000
 -18.325045    -76.577814        0.000000
 -18.293320   -593.271393        0.000000
 -18.261595   -563.188913        0.000000
 -18.229870   -209.354878        0.000000
 -18.198145   -147.806107        0.000000
 -18.166420    -25.316028        0.000000
 -18.134695   -680.094568        0.000000
 -18.102970   -560.895676        0.000000
 -18.071246    138.969320       11.788525
 -18.039521    323.536158       17.987111
 -18.007796   -859.794211        0.000000
 -17.976071    -63.343258        0.000000
 -17.944346   -110.483789        0.000000
 -17.912621      2.262137        1.504040
 -17.880896   -691.833119        0.000000
 -17.849171    132.840951       11.525665
 -17.817446   -120.178848        0.000000
 -17.785721    467.072728       21.611865
 -17.753996   -701.456435        0.000000
 -17.722272   -336.741601        0.000000
 -17.690547   -295.659179        0.000000
 -17.658822   -344.437744        0.000000
 -17.627097  -1152.818634        0.000000
 -17.595372     60.157067        7.756099
