 Eloss (eV)    Int (a.u.)  Int Err (a.u.)
 -24.024822    776.646729       27.868382
 -23.993097   1268.397949       35.614575
 -23.961372    914.891479       30.247173
 -23.929647   1110.977295       33.331326
 -23.897922    699.797363       26.453683
 -23.866197   1218.281616       34.903891
 -23.834472    775.302979       27.844263
 -23.802747   1255.987305       35.439911
 -23.771022    726.714233       26.957638
 -23.739297   1153.265503       33.959763
 -23.707573    866.039124       29.428543
 -23.675848   1651.496460       40.638608
 -23.644123    649.935486       25.493832
 -23.612398   1370.968018       37.026585
 -23.580673   1002.128723       31.656417
 -23.548948   1568.002197       39.598007
 -23.517223    589.416870       24.277909
 -23.485498   1269.157837       35.625242
 -23.453773    961.318970       31.005144
 -23.422048   1605.521729       40.068962
 -23.390323    588.803955       24.265283
 -23.358599   1089.023438       33.000355
 -23.326874   1062.962769       32.603110
 -23.295149   1583.425415       39.792278
 -23.263424    953.968140       30.886375
 -23.231699   1307.541260       36.159940
 -23.199974    636.873901       25.236361
 -23.168249   1569.331543       39.614789
 -23.136524    736.074463       27.130692
 -23.104799   1037.809448       32.215050
 -23.073074    857.072144       29.275794
 -23.041349   1504.419556       38.786848
 -23.009624    572.646851       23.930041
 -22.977900   1312.496338       36.228391
 -22.946175   1023.467590       31.991680
 -22.914450   1587.166992       39.839264
 -22.882725    796.458130       28.221590
 -22.851000   1455.831787       38.155364
 -22.819275    946.118896       30.759046
 -22.787550   1558.931152       39.483302
 -22.755825    814.029297       28.531199
 -22.724100   1195.544678       34.576649
 -22.692375    953.755127       30.882926
 -22.660650   1328.762207       36.452191
 -22.628926    978.783325       31.285513
 -22.597201   1335.521484       36.544787
 -22.565476   1104.449463       33.233258
 -22.533751   1740.982422       41.725081
 -22.502026    783.381348       27.988950
 -22.470301   1213.262939       34.831924
 -22.438576   1100.785522       33.178088
 -22.406851   1517.867065       38.959813
 -22.375126    594.605713       24.384538
 -22.343401   1019.167847       31.924408
 -22.311676   1169.422119       34.196814
 -22.279952   1513.920166       38.909127
 -22.248227    833.221680       28.865579
 -22.216502   1500.924316       38.741764
 -22.184777    998.313354       31.596097
 -22.153052   1361.703613       36.901268
 -22.121327    665.927063       25.805563
 -22.089602   1272.751343       35.675641
 -22.057877    992.692444       31.507022
 -22.026152   1483.781860       38.519889
 -21.994427    727.521301       26.972603
 -21.962702   1393.978149       37.336017
 -21.930978    738.090454       27.167820
 -21.899253   1247.996460       35.326993
 -21.867528    759.518921       27.559371
 -21.835803   1167.642456       34.170784
 -21.804078    960.339905       30.989351
 -21.772353   1334.336670       36.528573
 -21.740628    874.655762       29.574580
 -21.708903   1122.150879       33.498521
 -21.677178   1077.387207       32.823577
 -21.645453   1327.065674       36.428913
 -21.613728    902.933594       30.048853
 -21.582003   1161.620605       34.082556
 -21.550279    927.889954       30.461286
 -21.518554   1311.455322       36.214021
 -21.486829    648.742065       25.470415
 -21.455104   1371.629883       37.035522
 -21.423379    868.206482       29.465344
 -21.391654   1457.138184       38.172479
 -21.359929    893.597168       29.893096
 -21.328204   1130.934570       33.629371
 -21.296479    746.270447       27.317951
 -21.264754   1576.012085       39.699019
 -21.233029    745.262756       27.299501
 -21.201305   1258.838501       35.480114
 -21.169580   1094.153809       33.077996
 -21.137855   1486.142578       38.550520
 -21.106130    771.984253       27.784605
 -21.074405   1161.396606       34.079269
 -21.042680    901.400024       30.023325
 -21.010955   1489.051025       38.588224
 -20.979230    823.784790       28.701651
 -20.947505   1362.658325       36.914202
 -20.915780    854.726440       29.235705
 -20.884055   1833.690186       42.821609
 -20.852331    587.607056       24.240608
 -20.820606   1392.238159       37.312708
 -20.788881   1061.910400       32.586967
 -20.757156   1405.745850       37.493277
 -20.725431    679.852417       26.073980
 -20.693706   1209.179932       34.773265
 -20.661981    932.699158       30.540124
 -20.630256   1406.844238       37.507922
 -20.598531    802.278564       28.324522
 -20.566806   1227.394409       35.034189
 -20.535081    997.120850       31.577220
 -20.503357   1406.642212       37.505229
 -20.471632    806.335449       28.396046
 -20.439907   1145.373535       33.843368
 -20.408182    944.951172       30.740058
 -20.376457   1415.697266       37.625753
 -20.344732    811.460083       28.486138
 -20.313007   1074.510010       32.779719
 -20.281282   1006.057861       31.718415
 -20.249557   1651.730469       40.641487
 -20.217832    819.440552       28.625872
 -20.186107   1274.490479       35.700007
 -20.154382   1017.868164       31.904046
 -20.122658   1339.446655       36.598452
 -20.090933    716.309509       26.763959
 -20.059208   1158.720947       34.039990
 -20.027483    988.200500       31.435657
 -19.995758   1171.442505       34.226342
 -19.964033    956.911682       30.933989
 -19.932308   1450.270020       38.082411
 -19.900583   1013.609863       31.837240
 -19.868858   1603.362305       40.042007
 -19.837133    701.810669       26.491709
 -19.805408    922.793335       30.377514
 -19.773684    973.901917       31.207402
 -19.741959   1340.816895       36.617167
 -19.710234    770.737671       27.762163
 -19.678509   1557.797119       39.468939
 -19.646784   1052.570068       32.443336
 -19.615059   1547.458252       39.337746
 -19.583334    720.069092       26.834103
 -19.551609   1367.273560       36.976662
 -19.519884    861.378418       29.349249
 -19.488159   1458.351074       38.188363
 -19.456434    764.387573       27.647560
 -19.424710   1142.884399       33.806573
 -19.392985    922.900391       30.379276
 -19.361260   1699.359741       41.223291
 -19.329535    945.575195       30.750206
 -19.297810   1079.786987       32.860112
 -19.266085    928.253845       30.467259
 -19.234360   1565.375977       39.564833
 -19.202635    617.632996       24.852223
 -19.170910   1336.052734       36.552055
 -19.139185   1108.984375       33.301417
 -19.107460   1648.194092       40.597957
 -19.075736    754.861084       27.474735
 -19.044011   1308.732178       36.176404
 -19.012286    866.691040       29.439617
 -18.980561   1649.633057       40.615675
 -18.948836    696.566040       26.392538
 -18.917111   1061.645752       32.582906
 -18.885386    995.633911       31.553667
 -18.853661   1757.669434       41.924568
 -18.821936   1009.519165       31.772931
 -18.790211   1258.930054       35.481404
 -18.758486   1256.528320       35.447543
 -18.726761   1661.150146       40.757210
 -18.695037    754.922974       27.475862
 -18.663312   1073.504517       32.764379
 -18.631587   1010.059570       31.781434
 -18.599862   1400.320312       37.420854
 -18.568137    799.491760       28.275285
 -18.536412   1013.887268       31.841597
 -18.504687    745.396362       27.301948
 -18.472962   1526.581421       39.071491
 -18.441237    880.338989       29.670507
 -18.409512   1246.974854       35.312531
 -18.377787   1043.303101       32.300203
 -18.346063   1438.931152       37.933246
 -18.314338    607.734741       24.652277
 -18.282613   1128.977783       33.600265
 -18.250888    928.670410       30.474094
 -18.219163   1443.562988       37.994249
 -18.187438    657.144836       25.634836
 -18.155713   1384.668091       37.211129
 -18.123988   1176.166504       34.295284
 -18.092263   1585.277100       39.815538
 -18.060538    673.295715       25.947942
 -18.028813   1215.748047       34.867579
 -17.997089    735.961365       27.128608
 -17.965364   1384.080566       37.203233
 -17.933639   1291.667236       35.939772
 -17.901914   1138.797119       33.746068
 -17.870189    774.358276       27.827294
 -17.838464   1670.013916       40.865804
 -17.806739    800.795532       28.298331
 -17.775014   1247.706787       35.322893
 -17.743289    996.029907       31.559941
 -17.711564   1540.282227       39.246429
 -17.679839    760.389038       27.575153
 -17.648115   1173.102295       34.250581
 -17.616390    942.841675       30.705727
 -17.584665   1311.659546       36.216841
 -17.552940    783.540344       27.991791
 -17.521215   1111.325439       33.336548
 -17.489490    830.186035       28.812949
 -17.457765   1552.895020       39.406789
 -17.426040    557.308716       23.607387
 -17.394315    981.074646       31.322111
 -17.362590   1047.198242       32.360443
 -17.330865   1442.856689       37.984953
 -17.299140    865.628479       29.421565
 -17.267416   1169.186279       34.193366
 -17.235691    817.622681       28.594102
 -17.203966   1449.244629       38.068946
 -17.172241    443.956604       21.070278
 -17.140516   1011.173340       31.798952
 -17.108791    770.921570       27.765474
 -17.077066   1478.482666       38.451042
 -17.045341    720.950134       26.850515
 -17.013616   1056.680054       32.506616
 -16.981891    731.524292       27.046706
 -16.950166   1270.326904       35.641646
 -16.918442    529.237976       23.005173
 -16.886717   1204.771973       34.709825
